OAI,015_1,02X_1,1XX_1,245_1,250_1,26X_1,publication_year_1,300_1,pages_1,format_1,4X0_1,787_1,bl_language_1,015_2,02X_2,1XX_2,245_2,250_2,26X_2,publication_year_2,300_2,pages_2,format_2,4X0_2,787_2,bl_language_2,typ_duplicity
nkp.NKC01-001360486 nkp.NKC01-001077280,,,"$aHancinová, Viera $7jx20060824006",$aAnalógové a hybridné systémy : $bNávody na cvičenia /,$a1. vyd.,"$aBratislava : $bAlfa, $c1986",1986,$a235 s. :,235,BOOKS,,,slo,,,"$aHancinová, Viera $7jx20060824006",$aAnalógové a hybridné systémy : $bNávody na cvičenia /,$a1. vyd.,"$aBratislava : $bAlfa, $c1986",1986,$a235 s. ;,235,BOOKS,,,slo,real
nkp.NKC01-002823168 nkp.NKC01-002823169,,,"$aFreytag-Loringhoven, Hugo Friedrich Philipp Johann Freiherr von",$aAngewandte Geschichte : $bein Versuch /,,"$aBerlin : $bWalter de Gruyter, $c1920",1920,"$avii, 233, [i] s. ;",233,BOOKS,,,ger,,,"$aFreytag-Loringhoven, Hugo Friedrich Philipp Johann Freiherr von",$aAngewandte Geschichte : $bein Versuch /,,"$aBerlin : $bGruyter, $c1920",1920,"$avii, 233, i s. ;",233,BOOKS,,,ger,probable
ntk.STK01-000324427 ntk.STK01-000339964,,$a(nev.),"$aWeidauer, Rudi",$aAutomatische Maschinen-Fliessreihen /,,"$aBerlin : $bVerlag die Wirtschaft, $c1958",1958,$a143 s.,143,BOOKS,,,,,$a(nev.),"$aWiedauer, Rudi",$aAutomatische Maschinen-Fliessreihen : $bIhre technisch-ökonomischen Probleme /,,"$aBerlin : $bVerlag die Wirtschaft, $c1958",1958,$a143 s.,143,BOOKS,,,,probable
knav.KNA01-000910798 knav.KNA01-000910796,,,"$aBonnet, Charles, $d1720-1793 $7ola2002153859",$aBetrachtung über die Natur /,,"$aWien : $bAlberti, $c1789-1790.",1789,$a3 sv.,3,BOOKS,,,ger,,,"$aBonnet, Charles, $d1720-1793 $7ola2002153859",$aBetrachtung über die Natur /,,"$aWien : $bAlberti, $c1789-1790.",1789,$a3 sv.,3,BOOKS,,,ger,probable
knav.KNA01-000682218 knav.KNA01-000682226,,,,"$aBiomembrany. Struktura, funkciji, medicinskije aspekty /",,"$aRiga : $bZinatne, $c1981.",1981,$a326 s.,326,BOOKS,,,rus,,,,"$aBiomembrany. Struktura, funkciji, medicinskije aspekty /",,"$aRiga : $bZinatne, $c1981.",1981,$a326 s.,326,BOOKS,,,rus,probable
mzk.MZK01-000590062 mzk.MZK01-001744241,,,"$aMaleček, Josef Š., $d1890-1983 $7ola200203139",$aBrno v kresbách Josefa Š. Malečka : $b1967-1968 ; k tisku připr. Jaroslav Zelík,,"$aAdamov u Brna : $bHistoricko-vlastivědný kroužek závodního klubu ROH Adamovských strojíren, $c1968",1968,"$a1 nestránkovaný sv., obr. příl.",1,BOOKS,$aVlastivědná knižnice časopisu Vlastivědné zprávy z Adamova a okolí ; $vsv. 30,,cze,,,"$aMaleček, Josef Š., $d1890-1983 $7ola200203139",$aBrno v kresbách Josefa Š. Malečka : $b1967-1968 ; k tisku připr. Jaroslav Zelík,,"$aAdamov u Brna : $bHistoricko-vlastivědný kroužek Závodního klubu ROH Adamovských strojíren, $c1968",1968,"$a1 nestránkovaný sv., obr. příl.",1,BOOKS,$aVlastivědná knižnice časopisu Vlastivědné zprávy z Adamova a okolí ; $vsv. 30,,cze,real
ntk.STK01-000303228 ntk.STK01-000303232,,$a(nev.),,$aČeské polygrafické názvosloví : $bOstatní rozmnožovací způsoby a techniky,,"$aPraha : $bVyd. úřad pro normalisaci, $c1956",1956,$a2 s.,2,BOOKS,,,,,$a(nev.),,$aČeské polygrafické názvosloví : $bGalvanotechnika v polygrafii,,"$aPraha : $bVyd. úřad pro normalisaci, $c1956",1956,$a3 s.,3,BOOKS,,,,distinct
svkhk.HKA01-000151096 svkhk.HKA01-000291023,,,,$aČeskoslovensko : $bbiografie,,"$aPraha : $bStátní tiskárna, $c1936-1941",1936,$a3 sv.,3,BOOKS,,,cze,,,,$aČeskoslovensko : $bbiografie,,"$aPraha : $bStátní tiskárna, $c1936-1940",1936,$a2 sv.,2,BOOKS,,,cze,probable
mzk.MZK03-001074570 mzk.MZK03-001078952,,,,"$aCompendium Meditationum : $bquas In singulos Anni Dies, Ad profectum Religiosarum potissimùm Personarum, Luci publicae Quidam Societatis Jesu Sacerdos Italico idiomate nuper edidit, Nunc verò, ob praestantiam operis, Alius de eadem Societate Latinè reddidit. Semestre primum",,"$aVetero-Pragae : $bTypis Universitatis Carolo-Ferd: in Collegio S. J. ad S. Clement. per Joan. Norbert. Fitzky Factorem, $c[1730?]",1730,$a420 s. ;,420,BOOKS,,,lat,,,,"$aCompendium Meditationum : $bquas In singulos Anni Dies, Ad profectum Religiosarum potissimum Personarum, Luci publicae Quidam Societatis Jesu Sacerdos Italico idiomate nuper edidit, Nunc verò, ob praestintiam operis, Alius de eadem Societate Latinè reddidit. Semestre primum. Cum Licentia Superiorum",,"$aVetero-Pragae : $bTypis Universitatis Carolo-Ferd: in Collegio S.J. ad S. Clement. per Joan. Norbert. Fitzky Factorem, $c[1730?]",1730,$a420 s. ;,420,BOOKS,,,lat,probable
nkp.NKC01-001103298 nkp.NKC01-001388011,,,"$aJurica, Ľubomír",$aDatabázový systém RIDSEC počítača EC 1010 : $bPoužívateľská príručka /,$a1. vyd.,"$aBratislava : $bSlov. vysoká škola technická, Ústav výpočtovej techniky, $c1985",1985,$a133 s. ;,133,BOOKS,,,slo,,,"$aJurica, Ľubomír",$aDatabázový systém RIDSEC počítača EC 1010 : $bPoužívatelská príručka /,$a1. vyd.,"$aBratislava : $bSlov. vys. škola techn., $c1985",1985,$a133 s. :,133,BOOKS,,,slo,real
ntk.STK01-000177763 ntk.STK01-000178491,,,"$aRoediger, Wolfgang",$aDeutsche Kraftfahrzeuge der Baujahre nach 1945 /,$a1. Aufl.,"$aBerlin : $bTechnik, $c1955",1955,$a272 s.,272,BOOKS,,,ger,,,"$aRoediger, Wolfgang",$aDeutsche Kraftfahrzeuge der Baujahre nach 1945 /,$a1. Aufl.,"$aBerlin : $bTechnik, $c1955",1955,$a272 s.,272,BOOKS,,,ger,real
mzk.MZK03-001072322 mzk.MZK03-001080675,,,"$aMaffei, Giovanni Pietro, $d1536-1603 $7ola2010606060","$aDe Vita et Moribus S. Ignatii Lojolae Societatis Jesu Fundatoris, Libri III. /",,"$aViennae Austriae : $bTypis Kaliwodianis, $c1743",1743,"$a272 s., [1] příl. ;",272,BOOKS,,,lat,,,"$aMaffei, Giovanni Pietro, $d1536-1603 $7ola2010606060","$aDe Vita et Moribus S. Ignatii Lojolae Societatis Jesu Fundatoris, Libri III. /",,"$aViennae Austriae : $bTypis Kaliwodianis, $c1743",1743,"$a272 s., [1] příl. ;",272,BOOKS,,,lat,probable
caslin.SKC01-003734956 caslin.SKC01-009767260,,,"$aBalban, Alfred von",$aDie canonistischen Handschriften der kaiserlichen öffentlichen Bibliothek in St. Peterburg /,,"$aFreiburg I.B. : $bJ.C.B. Mohr, $c1895",1895,$a94 s.,94,BOOKS,,,ger,,,"$aHalban-Blumenstok, Alfred",$aDie canonistischen Handschriften der kaiserlichen öffentlichen Bibliothek in St. Peterburg /,,"$aFreiburg I.B. : $bJ. C. B. Mohr, $c1895",1895,$a94 s.,94,BOOKS,,,ger,probable
caslin.SKC01-004279455 caslin.SKC01-009904175,,,"$aMartinů, Bohuslav, $d1890-1959 $7jk01080381",$aDivadlo za branou (Commedia dell'arte) $bsuita z opery : partitura /,$a1. vyd.,"$aPraha : $bPanton, $c1965",1965,$a99 s.,99,MUSICAL_SCORES,,,zxx,,,"$aMartinů, Bohuslav, $d1890-1959 $7jk01080381",$aDivadlo za branou (Commedia dell´arte) : $bPartitura /,,"$aPraha : $bPaton, $c1965",1965,$a99 stran,99,"MUSICAL_SCORES, OTHER_OTHER, VIDEO_OTHER",,,cze,probable
svkhk.HKA01-000109057 svkhk.HKA01-000109068,,,"$aVais, Vitalij $7jk01141156",$aDošli : $bz legionářské kroniky /,,"$aPraha : $bJulius Albert, $c1935",1935,"$a1 sv. (252, 171 s.)",252,BOOKS,,,cze,,,"$aVais, Vitalij $7jk01141156",$aDošli : $bz legionářské kroniky /,,"$aPraha : $bJulius Albert, $c1935",1935,"$a2 sv. (252, 171 s.)",252,BOOKS,,,cze,probable
caslin.SKC01-002567390 caslin.SKC01-009943322,,$q(Brož.),"$aAguirre, Mirta, $d1912-1980 $7jn19990000051",$aEl leninismo en la historia me absolvera /,,"$aLa Habana : $bEditorial de Ciencias Sociales, $c1980",1980,$a111 s. ;,111,BOOKS,$aEdiciones Politicas,,spa,,,"$aAguirre, Mirta, $d1912-1980 $7jn19990000051",$aEl leninismo en : $bLa historia me absolverá /,,"$aLa Habana : $bEditorial de Ciencias Sociales, $c1980",1980,$a111 s.,111,BOOKS,$aEdiciones Políticas,,spa,real
czhistbib.3e170a0a-81cc-4de9-8203-458829452816 czhistbib.f24fa23b-472e-4cf3-b337-79ba0fc9a7dc,,,"$aDawson, Christopher, $d1889-1970 $7jn19990001660 $eAutor","$aGestaltungskräfte der Weltgeschichte : $bStudien zur Soziologie, Theologie und Philosophie der Geschichte /",,"$aMünchen : $bR. Oldenbourg, $c1959",1959,$a424 s.,424,BOOKS,,,ger,,,"$aDawson, Christopher, $d1889-1970 $7jn19990001660 $eAutor","$aGestaltungskräfte der Weltgeschichte : $bStudien zur Soziologie, Theologie und Philosophie der Geschichte /",,"$aMünchen : $bR. Oldenbourg, $c1959",1959,$a424 s.,424,BOOKS,,,ger,probable
nkp.NKC01-002642143 nkp.NKC01-002642144,,,"$aGarnier, Marie-Reine",$aHenry' James et la France /,,"$aParis : $b[s.n.], $c1927",1927,"$a[i], 216, [ii] s., [i] tab. ;",216,BOOKS,$aBibliothèque de la Revue de littérature comparée ; $vTome 44,,fre,,,"$aGarnier, Marie-Reine",$aHenry James et la France /,,"$aParis : $b[s.n.], $c1927",1927,$a216 s. ;,216,BOOKS,,,fre,probable
nkp.NKC01-001152832 nkp.NKC01-001128124,,,"$aIllyés, Gyula, $d1902-1983 $7mzk2002148162",$aHetvénhét magyar népmese /,$a8. kiad.,"$aBratislava : $bMadách, $c1977",1977,$a555 s. :,555,BOOKS,,,hun,,,"$aIllyés, Gyula, $d1902-1983 $7mzk2002148162",$aHetvenhét magyar népmese /,$a8. kiadás,"$aBratislava : $bMadách Könyvkiadó, $c1977",1977,$a555 s. ;,555,BOOKS,,,hun,real
mzk.MZK03-001229110 mzk.MZK03-001229109,,,,$aHistorická pjseň o hraběti Fridolinu,,"$aW Litomyssli : $bTiskem a nákladem Jos. Bergerowé, $c[1866?]",1866,$a2 nečíslované listy ;,2,BOOKS,,,cze,,,,$aHistorická pjseň o hraběti Fridolinu,,"$aW Litomyssli : $bTiskem a nákladem Jos. Bergerowé, $c[1866?]",1866,$a2 nečíslované listy ;,2,BOOKS,,,cze,probable
nkp.STT01-000039477 nkp.STT01-000039550,,,"$aVischel, Nicolaus",$aImago Beatae Virginis /,,"$a[Augsburg] : $b[Anton Sorg], $c[1477]",1477,$a42 ff. ;,42,BOOKS,,"$iPřívazek 1. k: $aBonaventura, S. $tSpeculum Beatae Mariae Virginis. $d[Augsburg] : Anton Sorg, 20. IX. 1477 $wstt20110039480",lat,,,"$aVischel, Nicolaus",$aImago Beatae Virginis /,,"$a[Augsburg] : $b[Anton Sorg], $c[1477]",1477,$a42 ff. ;,42,BOOKS,,"$iPřívazek 1. k: $aBonaventura, S. $tSpeculum Beatae Mariae Virginis. $d[Augsburg] : Anton Sorg, 20. IX. 1477 $wstt20110039553",lat,convolut
nkp.SLK01-000265342 nkp.SLK01-000265343,,,"$aLacour-Gayet, Georges, $d1856-1936 $7skuk0000746",$aIstorija novago vremeni : $b1610-1789 /,,"$aSankt-Peterburg : $bL. F. Pantelejev, $c1894",1894,"$a[2], IV, 507, [1] s. :",507,BOOKS,$aIstor. čtenija,,rus,,,"$aLacour-Gayet, Georges, $d1856-1936 $7skuk0000746",$aIstorija novago vremeni : $b1610-1789 /,,"$aS.-Peterburg : $bIzdanije A. F. Pantelějeva, $c1894",1894,$a507 stran ;,507,BOOKS,,,rus,probable
caslin.SKC01-001977512 caslin.SKC01-009995283,,,"$6880-01 $aJevreinov, Nikolaj Nikolajevič, $d1879-1953 $7js20020805712",$aIstorija telesnych nakazanij v Rossii /,,"$a[S.l. : $bs.n., $c1917-1918?]",1917,$a234 s.,234,BOOKS,,,rus,,,"$aJevreinov, Nikolaj Nikolajevič, $d1879-1953 $7js20020805712",$aIstorija telesnych'' nakazanij v'' Rossii : $bdopolnennoje stat'jami zapreščennymi starym'' pravitel'stvom'' /,,"$a[Sankt-Peterburg : $bnakladatel není známý, $c1917?]",1917,$a234 stran :,234,BOOKS,,,rus,probable
svkhk.HKA01-000500696 svkhk.HKA01-000500697,,,"$aTrvala, Vladimír $745316",$aKádre dnes a zajtra /,$a1. vyd.,"$aBratislava : $bPravda, $c1971",1971,$a115 s.,115,BOOKS,$aKnižnička straníckeho funkcionára,,slo,,,"$aTrvala, Vladimír $745316",$aKádre dnes a zajtra /,$a2. vyd.,"$aBratislava : $bPravda, $c1971",1971,$a115 s.,115,BOOKS,$aKnižnička straníckeho funkcionára,,slo,distinct
caslin.SKC01-000823690 caslin.SKC01-009825376,,,"$aPalotai, Boris, $d1904-1983 $7xx0023650","$aKeramika Jolany Kirczovej : $bod 26. septembra do 10. októbra 1936 Východoslovenské muzeum, Košice : Osnova výstavy : Východoslovenské muzeum : Plakát /",,"$aKošice : $b[nákl. vl.], $c1936",1936,"$a15, [I] s. ;",15,BOOKS,$aVýstav[y] Východoslovenského muzea v Košiciach ; $vVýst. 193,,slo,,,"$aKirczova, Jolana, $d1909-1936","$aKeramika Jolany Kirczovej : $bod 26. septembra do 10. októbra 1936, Východoslovenské múzeum Košice /",,"$aKošice : $b[nakladatel není známý], $c1936 $$$bŠtátna kníhtlačiareň",1936,$a15 stran :,15,BOOKS,,,slo,probable
nkp.NKC01-002393265 nkp.NKC01-002393266,,,,$aKonstrukční ocel ušlechtilá třídy 16,,"$aPraha : $bÚřad pro normalisaci, $c1954",1954,$a2 s.,2,BOOKS,$aČeskoslovenské státní normy (Standard) ; $vČSN 41 6133,,cze,,,,$aKonstrukční ocel ušlechtilá třídy 16,,"$aPraha : $bÚřad pro normalisaci, $c1954",1954,$a2 s.,2,BOOKS,$aČeskoslovenské státní normy (Standard) ; $vČSN 41 6132,,cze,real
nkp.NKC01-000559819 nkp.NKC01-002003426,,,"$aAlberty, Maurice H.",$aLe Probléme de la Minorité Allemande en Tchécoslovaquie /,,"$aParis : $bImprimerie F. Deshayes, $c1937",1937,$a157 s. ;,157,BOOKS,,,fre,,,"$aAlberty, Maurice H.",$aLe Problème de la minorité Allemande en Tchécoslovaquie /,,"$aParis : $b[s.n.], $c1937",1937,$a157 s. :,157,BOOKS,,,fre,probable
caslin.SKC01-002000120 caslin.SKC01-009965210,,,"$6880-01 $aChristu, Vasile",$aLjuben Karavelov za Federacijata /,,"$aSofija : $bNar. kultura, $c1948",1948,$a73 s.,73,BOOKS,,,bul,,$q(Brožováno),"$aChristu, Vasile",$aLjuben Karavelov za Federacijata /,,"$aSofija : $bNarodna kultura, $c1948",1948,$a74 stran,74,BOOKS,,,bul,probable
vse.000306153 vse.000545451,,,"$aPigors, P.",$aManagement of human resources,,$aNew York $bMcGraw-Hill book $c1964,1964,$a409 s.,409,BOOKS,,,cze,,,"$aMalm, F.T.",$aManagement of human resources,,$aNew York $bMcGraw-Hill $c1964,1964,$a409 s.,409,BOOKS,,,cze,probable
mzk.MZK01-001459234 mzk.MZK01-001468628,,,"$aMarx, Karl, $d1818-1883 $7jn19990005454",$aManifest der Kommunistischen Partei /,$a9. Aufl.,"$aBerlin : $bDietz, $c1953",1953,"$a37, 89 s.",89,BOOKS,$aBücherei des Merxismus-Leninismus ; $vBd. 1,,ger,,,"$aMarx, Karl, $d1818-1883 $7jn19990005454",$aManifest der Kommunistischen Partei /,$a8. Aufl.,"$aBerlin : $bDietz, $c1953",1953,"$a37, 89 s.",89,BOOKS,$aBücherei des Marxismus-Leninismus ; $vBd. 1.,,ger,distinct
vkol.SVK01-000531405 vkol.SVK01-000531406,,,"$aPomniena, Josephus",$aMANIPULUS JURIDICO-CANONICUS : $bREGULARUM JURIS in VIto SUCCINCTIS CASIBUS ET RATIONIBUS Nec non REGULARUM EXCEPTIONIBUS IN OBSEQUIUM AC UTILITATEM CANDIDATORUM JURIS CONGESTUS CUM ANNEXIS POSITIONIBUS EX UNIVERSO JURE CANONICO Vetero-Pragae in Ecclesia St. AEgidii Abbatis Ordinis Praedicatorum solemni concertationi expositus /,,"$aPragae : $btypis Ignatii Francisci Pruscha, $c1754",1754,"$a[XXI], 2 - 110, [VI] s. :",110,BOOKS,,,lat,,,"$aPomniena, Josephus",$aMANIPULUS JURIDICO-CANONICUS : $bREGULARUM JURIS in VIto SUCCINCTIS CASIBUS ET RATIONIBUS Nec non REGULARUM EXCEPTIONIBUS IN OBSEQUIUM AC UTILITATEM CANDIDATORUM JURIS CONGESTUS CUM ANNEXIS POSITIONIBUS EX UNIVERSO JURE CANONICO Vetero-Pragae in Ecclesia St. AEgidii Abbatis Ordinis Praedicatorum solemni concertationi expositus /,,"$aPragae : $btypis Ignatii Francisci Pruscha, $c1754",1754,"$a[XXI], 2 - 110, [VI] s. :",110,BOOKS,,,lat,probable
nkp.NKC01-002691063 nkp.NKC01-002745839,,$q(Brož.),"$aPaul, Karl",$aMaurertägliche Randbemerkungen,,"$aFrankfurt a.M. : $bAlbert Mahlau, $c1891",1891,$a19 s. ;,19,BOOKS,,,ger,,$q(Brožováno),"$aPaul, Karl","$aMaurertägliche Randbemerkungen : $bden im Or. Frankfurt a.M. arbeitenden Johannislogen ""Zur Einigkeit"", ""Sokrates zur Standhaftigkeit"", ""Carl zum aufgehenden Licht"" und ""Zum Frankfurter Adler"" in brüderlicher Verehrung gewidmet /",,"$aFrankfurt a.M. : $b[nakladatel není známý], $c1891 $$$bDruck von Br. Albert Mahlau",1891,$a19 stran ;,19,BOOKS,,,ger,probable
caslin.SKC01-004060767 caslin.SKC01-009871814,,,"$aŠkolina, Kira Vasil'jevna",$aPosobije po stilistike po materialam nemeckoj demokratičeskoj pressy : $bna nemeckom jazyke dlja studentov pedagogičeskich institutov /,,"$aMoskva : $bProsveščenije, $c1965",1965,$a120 s.,120,BOOKS,,,rus,,,"$aŠkolina, Kira Vasil'jevna",$aPosobije po stilistike : $bpo materialam nemeckoj demokratičeskoj pressy /,,"$aMoskva : $bProsveščenije, $c1965.",1965,$a120 s.,120,BOOKS,,,ger,probable
nkp.NKC01-001434131 nkp.NKC01-001434171,,,,$aProbleme der Geschichtswissenschaft,,"$aDüsseldorf : $bPädagogischer Verl., $c1973",1973,$a176 s.,176,BOOKS,$aGeschichte und Gesellschaft,,ger,,,,$aProbleme der Geschichtswissenschaft,,"$aDüsseldorf : $bPädagogischer Verl., $c1973",1973,$a176 s.,176,BOOKS,$aGeschichte und Gesellschaft,,ger,real
vkol.SVK01-000731306 vkol.SVK01-000731303,,,"$aStanyhurst, Guillaume, $d1601-1663 $7mzk2004250938","$aQuotidianae Tesserae Militis Christiani, a R. P. Guilielmo Stanihursto , Societatis Jesu Sacerdote conscriptae, mensis Maius, pio usui et Fructui dominorum dominorum in alma congrgatione beatae virginis Mariae in coelos assumptae, in Olomucensi Academico Societatis Jesu Collegio erecta consodalium dicatus, et pro strena anni 1706 ablatus",,"$aOlomucii Metropoli Marchionatus Moraviae : $bTypis Ignatii Rosenburg, $c1706",1706,$a108 s. ;,108,BOOKS,,,lat,,,"$aStanyhurst, Guillaume, $d1601-1663 $7mzk2004250938","$aQuotidianae Tesserae Militis Christiani, a R. P. Guilielmo Stanihursto , Societatis Jesu Sacerdote conscriptae, mensis Maius, pio usui et Fructui dominorum dominorum in alma congrgatione beatae virginis Mariae in coelos assumptae, in Olomucensi Academico Societatis Jesu Collegio erecta consodalium dicatus, et pro strena anni 1706 ablatus",,"$aOlomucii Metropoli Marchionatus Moraviae : $bTypis Ignatii Rosenburg, $c1706",1706,$a108 s. ;,108,BOOKS,,,lat,probable
